[2026-05-21T06:16:39.082Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_tanstack_query-core_build_lib_mjs.60e2dda8.js → 200 (?ms, 40847B)
[2026-05-21T06:16:39.083Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/sive_en_7Czh-cn_7Czh-tw_7Cja_7Cth-webpack_s-4665cf.ae03eef3.css → 200 (1ms, 223867B)
[2026-05-21T06:16:39.084Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/sive_en_7Czh-cn_7Czh-tw_7Cja_7Cth-webpack_s-4665cf.ae03eef3.js → 200 (?ms, 437541B)
[2026-05-21T06:16:39.287Z] POST https://westkdemo.sensorsdata.cn/api/v2/sbp/errorcode/report → 200 (193ms, 21B)
[2026-05-21T06:16:39.480Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_html2canvas_html2canvas.7b6c4cbc.js → 200 (10ms, 203179B)
[2026-05-21T06:16:39.481Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_ahooks-_05a11.5f339f59.js → 200 (7ms, 90031B)
[2026-05-21T06:16:39.482Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_fflatem_browser.ee4f1728.js → 200 (6ms, 31987B)
[2026-05-21T06:16:39.482Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_react-to-pdf_nmpdfpdf_min.d4dcfbab.js → 200 (9ms, 343881B)
[2026-05-21T06:16:39.482Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_sef__sef_entry_module.24da6bd0.css → 200 (8ms, 620B)
[2026-05-21T06:16:39.482Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_sef__sef_entry_module.24da6bd0.js → 200 (8ms, 56707B)
[2026-05-21T06:16:39.483Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/module._sbp_unit_passport.js?_v=0.901937210105528 → 200 (64ms, 17919B)
[2026-05-21T06:16:39.547Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/vendors-node_modules_sensd_icons_es_icons_BackNavigateOutlined_js-node_modules_sensd_icons_es-a98d0f.98923bc7.js → 200 (7ms, ?B)
[2026-05-21T06:16:39.547Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/src_index_js-src_assets_loginBg_svg-src_assets_logo_svg-src_assets_no_found_jpg.3b9c0c0d.css → 200 (6ms, ?B)
[2026-05-21T06:16:39.547Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/src_index_js-src_assets_loginBg_svg-src_assets_logo_svg-src_assets_no_found_jpg.ebb595d5.js → 200 (9ms, ?B)
[2026-05-21T06:16:39.642Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/54336810786b8741.svg → 200 (?ms, 28772B)
[2026-05-21T06:16:40.642Z] GET https://westkdemo.sensorsdata.cn/sbp/static/_sbp_com-compatibility-reminder_src_index_ts.3c7fdd36.js → 200 (6ms, 53530B)
[2026-05-21T06:16:40.649Z] GET https://westkdemo.sensorsdata.cn/sbp/static/compatible_reminder_config_json.a094e539.js → 200 (?ms, 409B)
[2026-05-21T06:16:59.827Z] GET https://westkdemo.sensorsdata.cn/report/?project=mpdev&product=sbp_family → 302 (70ms, ?B)
[2026-05-21T06:16:59.898Z] GET https://westkdemo.sensorsdata.cn/login/index.html?to=%2Freport%2F%3Fproject%3Dmpdev%26product%3Dsbp_family&project=mpdev&product=sbp_family → 200 (101ms, 57082B)
[2026-05-21T06:17:00.071Z] GET https://westkdemo.sensorsdata.cn/sbp/static/sa-sdk-javascript.5369694c.js → 200 (?ms, 187181B)
[2026-05-21T06:17:00.072Z] GET https://westkdemo.sensorsdata.cn/sbp/static/main.735c315a.css → 200 (?ms, 1030970B)
[2026-05-21T06:17:00.073Z] GET https://westkdemo.sensorsdata.cn/sbp/static/en-us.0bc516a965591a65174ea778f83f5186.js → 200 (?ms, 32326B)
[2026-05-21T06:17:00.073Z] GET https://westkdemo.sensorsdata.cn/sbp/static/main.ec867b32.js → 200 (115ms, 3421568B)
[2026-05-21T06:17:00.288Z] GET https://westkdemo.sensorsdata.cn/sbp/static/src_style-importer_js.48075b9c.css → 200 (?ms, 8682B)
[2026-05-21T06:17:00.289Z] GET https://westkdemo.sensorsdata.cn/sbp/static/src_style-importer_js.9656e097.js → 200 (?ms, 157B)
[2026-05-21T06:17:00.289Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/extension._sensorsdata_scene_workbench_extension.js?_v=0.6296543247075052 → 200 (289ms, ?B)
[2026-05-21T06:17:00.295Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/intl/en-us.json?v=1779344220265 → 200 (267ms, ?B)
[2026-05-21T06:17:00.561Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/intl/en-us.json?v=1779344220468 → pending (?ms, ?B)
[2026-05-21T06:17:00.577Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/extension._sens_extension_sensors_ai_assistant.js?_v=0.5387050937188059 → pending (?ms, ?B)
[2026-05-21T06:17:00.582Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/ange-picker_lib-nm_sc_rule-editor-realtime_-21acc9.b6fe45d7.js → 200 (2ms, ?B)
[2026-05-21T06:17:00.584Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_ctrl_tinycolor_module_public_api.d38dc6f1.js → 200 (1ms, ?B)
[2026-05-21T06:17:00.585Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_slot-manage-_75cd1.4dd73bb9.js → 200 (1ms, ?B)
[2026-05-21T06:17:00.586Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/vendors-nm_xlsx_xlsx.480ac4d4.js → 200 (1ms, ?B)
[2026-05-21T06:17:00.588Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/_f6a4-_9ac9-_2887.813759e0.js → 200 (?ms, ?B)
[2026-05-21T06:17:00.588Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_sef_crypto-js-trimed_crypto-js-trimed_min.acbf06a4.js → 200 (1ms, ?B)
[2026-05-21T06:17:00.589Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_sdutils_nm_immer_immer_module.e379bccd.js → 200 (1ms, ?B)
[2026-05-21T06:17:00.591Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_react-windowm-_b85b1.9ec5bdc9.js → 200 (?ms, ?B)
[2026-05-21T06:17:00.593Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_dom-align-web.bdefed5c.js → 200 (?ms, ?B)
[2026-05-21T06:17:00.610Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-align-_fdee0.47eb2202.js → 200 (1ms, 26489B)
[2026-05-21T06:17:00.612Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-animate_Animate-_72420.6330a71d.js → 200 (?ms, 31782B)
[2026-05-21T06:17:00.613Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-trigger-_d8a61.90b9ae89.js → 200 (?ms, 50062B)
[2026-05-21T06:17:00.613Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-calendar-_2b4e1.e5ac0a11.js → 200 (?ms, 54325B)
[2026-05-21T06:17:00.615Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_resize-observer-polyfill_ResizeObserver.5203d6aa.js → 200 (?ms, 8022B)
[2026-05-21T06:17:00.626Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_intersection-observer_intersection-observer.c2bde562.js → 200 (?ms, 9145B)
[2026-05-21T06:17:00.627Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_ahooks-_100f1.f0e78f84.js → 200 (1ms, 85095B)
[2026-05-21T06:17:00.629Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_tanstack_query-core_build_lib_mjs.60e2dda8.js → 200 (1ms, 40847B)
[2026-05-21T06:17:00.630Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/sive_en_7Czh-cn_7Czh-tw_7Cja_7Cth-webpack_s-4665cf.ae03eef3.css → 200 (?ms, 223867B)
[2026-05-21T06:17:00.631Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/sive_en_7Czh-cn_7Czh-tw_7Cja_7Cth-webpack_s-4665cf.ae03eef3.js → 200 (?ms, 437541B)
[2026-05-21T06:17:00.683Z] POST https://westkdemo.sensorsdata.cn/api/v2/sbp/errorcode/report → 200 (172ms, 21B)
[2026-05-21T06:17:00.856Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_html2canvas_html2canvas.7b6c4cbc.js → 200 (?ms, 203179B)
[2026-05-21T06:17:00.856Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_ahooks-_05a11.5f339f59.js → 200 (?ms, 90031B)
[2026-05-21T06:17:00.858Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_fflatem_browser.ee4f1728.js → 200 (?ms, 31987B)
